%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2208,402330.4,45.83525855,-110.9323804,2298.8843,1,9,0.0068,0.0054,0.0128,0.0033,0.0048,0.0053,-4.6,16.8
2208,402330.6,45.83525515,-110.93239,2298.8889,1,9,0.0067,0.0053,0.0126,0.0033,0.0047,0.0052,-4.4,16.1
2208,402330.8,45.83525178,-110.9323993,2298.8871,1,9,0.0066,0.0052,0.0123,0.0032,0.0047,0.0051,-4.2,15.4
2208,402331,45.83524846,-110.9324085,2298.8838,1,9,0.0065,0.0051,0.0121,0.0032,0.0046,0.0049,-4,14.6
2208,402331.2,45.8352452,-110.9324175,2298.8841,1,9,0.0064,0.0051,0.0119,0.0031,0.0045,0.0048,-3.8,13.9
2208,402331.4,45.835242,-110.9324263,2298.8771,1,9,0.0063,0.005,0.0117,0.0031,0.0044,0.0046,-3.6,13.2
2208,402331.6,45.83523889,-110.9324351,2298.8862,1,9,0.0062,0.0049,0.0115,0.003,0.0044,0.0045,-3.4,12.5
2208,402331.8,45.83523579,-110.9324439,2298.8848,1,9,0.0061,0.0049,0.0113,0.003,0.0043,0.0043,-3.2,11.8
2208,402332,45.83523261,-110.9324528,2298.8871,1,9,0.006,0.0048,0.0112,0.0029,0.0042,0.0042,-3,11
2208,402332.2,45.83522944,-110.9324617,2298.8931,1,9,0.006,0.0048,0.011,0.0029,0.0042,0.0041,-2.8,10.3
2208,402332.4,45.83522622,-110.9324706,2298.8945,1,9,0.0059,0.0047,0.0109,0.0028,0.0041,0.0039,-2.6,9.5
2208,402332.6,45.8352231,-110.9324795,2298.9019,1,9,0.0058,0.0047,0.0108,0.0028,0.0041,0.0038,-2.4,8.8
2208,402332.8,45.8352199,-110.9324885,2298.9098,1,9,0.0058,0.0047,0.0108,0.0027,0.0042,0.0035,-2.2,8
2208,402333,45.83521668,-110.9324975,2298.9173,1,9,0.0057,0.0047,0.0109,0.0025,0.0043,0.0032,-2,7.2
2208,402333.2,45.83521339,-110.9325067,2298.9138,1,9,0.0057,0.0046,0.0108,0.0025,0.0043,0.0031,-1.8,6.4
2208,402333.4,45.83521004,-110.9325157,2298.9168,1,9,0.0056,0.0046,0.0107,0.0025,0.0042,0.003,-1.6,5.6
2208,402333.6,45.8352068,-110.9325248,2298.923,1,9,0.0056,0.0045,0.0106,0.0024,0.0042,0.0029,-1.4,4.8
2208,402333.8,45.83520352,-110.932534,2298.9227,1,9,0.0055,0.0046,0.0106,0.0024,0.0043,0.0027,-1.2,337.1
2208,402334,45.8352002,-110.9325433,2298.9194,1,9,0.0055,0.0046,0.0106,0.0023,0.0044,0.0025,-1,336.9
2208,402334.2,45.83519685,-110.9325526,2298.9192,1,9,0.0055,0.0046,0.0107,0.0023,0.0044,0.0023,-0.8,3.5
