%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2185,328445.8,45.83288123,-110.9375355,2545.0791,1,8,0.0216,0.0179,0.0414,-0.0108,0.0188,-0.0146,-24.2,999.9
2185,328446,45.83288427,-110.9375297,2544.666,1,8,0.0215,0.0177,0.0411,-0.0107,0.0186,-0.0146,-24,999.9
2185,328446.2,45.83288733,-110.9375239,2544.2529,1,8,0.0213,0.0176,0.0408,-0.0106,0.0185,-0.0145,-23.8,999.9
2185,328446.4,45.83289041,-110.937518,2543.8349,1,8,0.0211,0.0175,0.0405,-0.0106,0.0184,-0.0144,-23.6,999.9
2185,328446.6,45.83289349,-110.9375122,2543.4185,1,8,0.021,0.0173,0.0402,-0.0105,0.0182,-0.0143,-23.4,999.9
2185,328446.8,45.83289652,-110.9375063,2543.0092,1,8,0.0208,0.0172,0.0399,-0.0104,0.0181,-0.0142,-23.2,999.9
2185,328447,45.83289957,-110.9375004,2542.5896,1,8,0.0207,0.0171,0.0396,-0.0103,0.0179,-0.0141,-23,999.9
2185,328447.2,45.83290262,-110.9374945,2542.176,1,8,0.0205,0.0169,0.0393,-0.0103,0.0178,-0.014,-22.8,999.9
2185,328447.4,45.83290572,-110.9374887,2541.7555,1,8,0.0204,0.0168,0.039,-0.0102,0.0177,-0.0139,-22.6,999.9
2185,328447.6,45.8329088,-110.9374828,2541.3391,1,8,0.0202,0.0167,0.0387,-0.0101,0.0175,-0.0138,-22.4,999.9
2185,328447.8,45.83291189,-110.9374769,2540.9195,1,8,0.0201,0.0166,0.0384,-0.01,0.0174,-0.0137,-22.2,999.9
2185,328448,45.83291501,-110.9374711,2540.499,1,8,0.0199,0.0164,0.0381,-0.0099,0.0173,-0.0136,-22,999.9
2185,328448.2,45.83291806,-110.9374652,2540.079,1,8,0.0198,0.0163,0.0378,-0.0099,0.0171,-0.0135,-21.8,999.9
2185,328448.4,45.8329212,-110.9374593,2539.6556,1,8,0.0196,0.0162,0.0375,-0.0098,0.017,-0.0134,-21.6,999.9
2185,328448.6,45.83292434,-110.9374535,2539.2329,1,8,0.0195,0.016,0.0372,-0.0097,0.0168,-0.0133,-21.4,999.9
2185,328448.8,45.83292747,-110.9374476,2538.8085,1,8,0.0193,0.0159,0.0369,-0.0096,0.0167,-0.0132,-21.2,999.9
2185,328449,45.83293053,-110.9374418,2538.3914,1,8,0.0192,0.0158,0.0366,-0.0096,0.0166,-0.0131,-21,999.9
